Role,Section,Feature,Key,Status
Parent,Profile,Digital Student Id Card View,parent.profile.digital_student_id_card_view,built
Parent,Profile,Multi Language App Interface Toggle,parent.profile.multi_language_app_interface_toggle,built
Parent,Profile,Parent App Biometric Lock Face Id Fingerprint,parent.profile.parent_app_biometric_lock_face_id_fingerprint,deferred
Parent,Profile,Parent App Dark Mode High Contrast Accessibility,parent.profile.parent_app_dark_mode_high_contrast_accessibility,built
Parent,Profile,Telugu Language Interface,parent.profile.telugu_language_interface,built
Parent,School Life,Calendar Ptm,parent.school_life.calendar_ptm,built
Parent,School Life,Live Event Seating Pass,parent.school_life.live_event_seating_pass,built
Parent,School Life,Parent Teacher Meeting Booking,parent.school_life.parent_teacher_meeting_booking,built
Parent,School Life,Ptm Appointment Reminder Alert,parent.school_life.ptm_appointment_reminder_alert,built
Parent,School Life,School Photo Video Gallery,parent.school_life.school_photo_video_gallery,built
Seller Admin,Customers,Onboarding Progress,seller_admin.customers.onboarding_progress,built
Seller Admin,Customers,Provision New School,seller_admin.customers.provision_new_school,built
Seller Admin,Customers,Suspend Reactivate,seller_admin.customers.suspend_reactivate,built
Seller Admin,Customers,Tenant Directory,seller_admin.customers.tenant_directory,built
Seller Admin,Entitlements,Module Entitlement Matrix,seller_admin.entitlements.module_entitlement_matrix,built
Seller Admin,Subscriptions Billing,Plans Pricing,seller_admin.subscriptions_billing.plans_pricing,built
Seller Admin,Subscriptions Billing,Seat Overage Renewals,seller_admin.subscriptions_billing.seat_overage_renewals,built
Seller Admin,Subscriptions Billing,Subscription Ledger,seller_admin.subscriptions_billing.subscription_ledger,built
Seller Admin,Support,Impersonation Audit,seller_admin.support.impersonation_audit,built
Seller Admin,Support,Support Tickets,seller_admin.support.support_tickets,built
Seller Admin,Usage Health,Adoption Metrics,seller_admin.usage_health.adoption_metrics,built
Seller Admin,Usage Health,Instance Health,seller_admin.usage_health.instance_health,built
Student,Alumni,Alumni Job Internship Board,student.alumni.alumni_job_internship_board,built
Student,Alumni,Alumni Network Registration,student.alumni.alumni_network_registration,built
Student,Attendance,Attendance,student.attendance.attendance,built
Student,Campus Life,Digital Hall Of Fame,student.campus_life.digital_hall_of_fame,deferred
Student,Campus Life,Digital Locker Combination Access Log,student.campus_life.digital_locker_combination_access_log,built
Student,Campus Life,Lost Found Item Board,student.campus_life.lost_found_item_board,built
Student,Campus Life,Lost Found Photo Board With Claim Verification,student.campus_life.lost_found_photo_board_with_claim_verification,built
Student,Campus Life,Student Club Event Ticketing Qr Check In,student.campus_life.student_club_event_ticketing_qr_check_in,built
Student,Campus Life,Student Wall Peer Recognition,student.campus_life.student_wall_peer_recognition,built
Student,Exams Results,Academic Record,student.exams_results.academic_record,built
Student,Exams Results,Exams Grades,student.exams_results.exams_grades,built
Student,Fees,Fees,student.fees.fees,built
Student,Home,Custom Theme Selection,student.home.custom_theme_selection,built
Student,Home,Digital Diary Schedule,student.home.digital_diary_schedule,built
Student,Home,My Day,student.home.my_day,built
Student,Homework,Classmate Homework Help Forum,student.homework.classmate_homework_help_forum,built
Student,Homework,Homework Assignments,student.homework.homework_assignments,built
Student,Learning,Ai Personal Learning Companion,student.learning.ai_personal_learning_companion,deferred
Student,Learning,Courses Subjects,student.learning.courses_subjects,built
Student,Learning,E Learning Resource Hub,student.learning.e_learning_resource_hub,built
Student,Learning,Gamified Learning Badge Showcase,student.learning.gamified_learning_badge_showcase,deferred
Student,Learning,Gamified Learning Streak Counter,student.learning.gamified_learning_streak_counter,deferred
Student,Learning,Global University Guidance Counselor,student.learning.global_university_guidance_counselor,built
Student,Learning,Peer Tutoring Study Groups,student.learning.peer_tutoring_study_groups,built
Student,Learning,Student Portfolio Management,student.learning.student_portfolio_management,built
Student,Learning,Virtual Classroom Hand Raise Telemetry,student.learning.virtual_classroom_hand_raise_telemetry,built
Student,Notices Calendar,Calendar,student.notices_calendar.calendar,built
Student,Notices Calendar,Library Book Hold Request,student.notices_calendar.library_book_hold_request,built
Student,Profile,Digital Student Id Card Nfc Tap Pass,student.profile.digital_student_id_card_nfc_tap_pass,deferred
Student,Requests,Requests,student.requests.requests,built
Student,Timetable,Timetable,student.timetable.timetable,built
Super Admin,Access Security,Login Session Audit,super_admin.access_security.login_session_audit,built
Super Admin,Access Security,Roles Permissions,super_admin.access_security.roles_permissions,built
Super Admin,Access Security,Sso Mfa,super_admin.access_security.sso_mfa,built
Super Admin,Access Security,User Directory,super_admin.access_security.user_directory,built
Super Admin,Access Security,Users,super_admin.access_security.users,built
Super Admin,Ai Automation,Ai Sentiment Analysis On Feedback,super_admin.ai_automation.ai_sentiment_analysis_on_feedback,deferred
Super Admin,Ai Automation,Automated Exam Question Translation,super_admin.ai_automation.automated_exam_question_translation,deferred
Super Admin,Ai Automation,Automated Timetable Optimizer,super_admin.ai_automation.automated_timetable_optimizer,built
Super Admin,Ai Automation,Predictive Dropout Risk Engine,super_admin.ai_automation.predictive_dropout_risk_engine,deferred
Super Admin,Ai Automation,Smart Fee Cash Flow Predictor,super_admin.ai_automation.smart_fee_cash_flow_predictor,deferred
Super Admin,Campuses Academic Year,Academic Calendar Model,super_admin.campuses_academic_year.academic_calendar_model,built
Super Admin,Campuses Academic Year,Franchise Management,super_admin.campuses_academic_year.franchise_management,built
Super Admin,Campuses Academic Year,White Label Branding,super_admin.campuses_academic_year.white_label_branding,built
Super Admin,Dashboard,Alerts,super_admin.dashboard.alerts,built
Super Admin,Dashboard,All Campuses Summary,super_admin.dashboard.all_campuses_summary,built
Super Admin,Dashboard,Campus Cards,super_admin.dashboard.campus_cards,built
Super Admin,Dashboard,Central Admission Funnel Kpi,super_admin.dashboard.central_admission_funnel_kpi,built
Super Admin,Dashboard,Executive System Alerts,super_admin.dashboard.executive_system_alerts,built
Super Admin,Dashboard,Global Attendance Heatmap,super_admin.dashboard.global_attendance_heatmap,built
Super Admin,Dashboard,Multi Branch Revenue Analytics,super_admin.dashboard.multi_branch_revenue_analytics,built
Super Admin,Dashboard,System Health,super_admin.dashboard.system_health,built
Super Admin,Institution Setup,Academic Year Defaults,super_admin.institution_setup.academic_year_defaults,built
Super Admin,Institution Setup,Branding,super_admin.institution_setup.branding,built
Super Admin,Institution Setup,Institutions Campuses,super_admin.institution_setup.institutions_campuses,built
Super Admin,Institution Setup,School Settings,super_admin.institution_setup.school_settings,built
Super Admin,Messaging,Automated Trigger Rules,super_admin.messaging.automated_trigger_rules,built
Super Admin,Messaging,Email Server Smtp Integration,super_admin.messaging.email_server_smtp_integration,built
Super Admin,Messaging,Sms Gateway Integration,super_admin.messaging.sms_gateway_integration,built
Super Admin,Messaging,Whatsapp Api Integration,super_admin.messaging.whatsapp_api_integration,built
Super Admin,Operations,Data Backup Restore,super_admin.operations.data_backup_restore,built
Super Admin,Operations,System Health Integration Alerts,super_admin.operations.system_health_integration_alerts,built
Super Admin,Payments Devices,Biometric Device Integration,super_admin.payments_devices.biometric_device_integration,deferred
Super Admin,Payments Devices,Gps Hardware Integration,super_admin.payments_devices.gps_hardware_integration,built
Super Admin,Payments Devices,Meritto Leadsquared Sync,super_admin.payments_devices.meritto_leadsquared_sync,built
Super Admin,Payments Devices,Payment Gateway Connectors,super_admin.payments_devices.payment_gateway_connectors,deferred
Super Admin,Payments Devices,Tally Erp Prime Connector,super_admin.payments_devices.tally_erp_prime_connector,built
Super Admin,Payments Devices,Virtual Classroom Integration,super_admin.payments_devices.virtual_classroom_integration,built
Super Admin,Platform Configuration,Audit Log,super_admin.platform_configuration.audit_log,built
Super Admin,Platform Configuration,Data Operations,super_admin.platform_configuration.data_operations,built
Super Admin,Platform Configuration,Import Export,super_admin.platform_configuration.import_export,built
Super Admin,Platform Configuration,Integrations,super_admin.platform_configuration.integrations,built
Super Admin,Platform Configuration,Module Configuration,super_admin.platform_configuration.module_configuration,built
Super Admin,Platform Configuration,Numbering Templates,super_admin.platform_configuration.numbering_templates,built
Super Admin,Statutory Boards,Apaar Id Provisioning,super_admin.statutory_boards.apaar_id_provisioning,built
Super Admin,Statutory Boards,Board Affiliation Disclosure,super_admin.statutory_boards.board_affiliation_disclosure,built
Super Admin,Statutory Boards,Child Info Portal Sync,super_admin.statutory_boards.child_info_portal_sync,built
Super Admin,Statutory Boards,Digilocker Issuer Integration,super_admin.statutory_boards.digilocker_issuer_integration,deferred
Super Admin,Statutory Boards,District Mandal Master,super_admin.statutory_boards.district_mandal_master,built
Super Admin,Statutory Boards,School Management Type,super_admin.statutory_boards.school_management_type,built
Super Admin,Statutory Boards,Sqaa Framework Management,super_admin.statutory_boards.sqaa_framework_management,built
Super Admin,Statutory Boards,State Board Configuration,super_admin.statutory_boards.state_board_configuration,built
Super Admin,Statutory Boards,Udise Data Sync,super_admin.statutory_boards.udise_data_sync,built
