Year Phase,Typical Months,Role,Role Key,Workspace,Section,Feature,Feature Key,Data Scope,Tier,Built,Screen,When Used,Depends On,Feeds Into,Acts Before (role),Hands Off To (role),Approved By,Notifies,Handoff Chain,Also Held By,What The User Does
03 Staffing,Feb-Apr,HR & Payroll,hr,Payroll,Payroll,Payslip Generation & Email Dispatch,hr.payroll.payslip_generation_email_dispatch,institution,core,yes,Payroll,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll (runs it),Accounts & Finance (pays it),Institution Admin,None,Attendance and leave -> loss of pay -> payroll run -> approved -> bank export,,"Generate PDF payslips, publish to employee portals, and dispatch password-protected PDFs."
03 Staffing,Feb-Apr,HR & Payroll,hr,Payroll,Payroll,Salary Structure Builder,hr.payroll.salary_structure_builder,institution,core,yes,Payroll,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll (runs it),Accounts & Finance (pays it),Institution Admin,None,Attendance and leave -> loss of pay -> payroll run -> approved -> bank export,,"Define Basic Pay, HRA, DA, Special Allowances, PF, ESI, Professional Tax, and Income Tax."
03 Staffing,Feb-Apr,HR & Payroll,hr,Payroll,Payroll,Staff Loan & Advance Management,hr.payroll.staff_loan_advance_management,institution,advanced,yes,Statutory,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll (runs it),Accounts & Finance (pays it),Institution Admin,None,Attendance and leave -> loss of pay -> payroll run -> approved -> bank export,,Process employee salary advance requests and set auto-deduction installments in monthly payroll.
03 Staffing,Feb-Apr,HR & Payroll,hr,Payroll,Payroll,Substitute Workload Allowance,hr.payroll.substitute_workload_allowance,institution,core,yes,Statutory,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll (runs it),Accounts & Finance (pays it),Institution Admin,None,Attendance and leave -> loss of pay -> payroll run -> approved -> bank export,,Track additional proxy classes taken by teachers and compute extra substitution pay.
03 Staffing,Feb-Apr,HR & Payroll,hr,Employees,Records,Employee Document Expiry Alerts,hr.records.employee_document_expiry_alerts,institution,core,yes,Employees,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll (appoints),HOD and Institution Admin,Institution Admin,None,HR appoints -> HR issues the login -> HOD allocates the timetable,,"Receive alerts for upcoming visa, teaching license, or contract renewal expiration dates."
03 Staffing,Feb-Apr,HR & Payroll,hr,Employees,Records,Employee documents,hr.records.employee_documents,institution,core,yes,Employees,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll (appoints),HOD and Institution Admin,Institution Admin,None,HR appoints -> HR issues the login -> HOD allocates the timetable,,"Contracts, IDs and configured employment documents."
03 Staffing,Feb-Apr,HR & Payroll,hr,Employees,Records,Employee master,hr.records.employee_master,institution,core,yes,Employees,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll (appoints),HOD and Institution Admin,Institution Admin,None,HR appoints -> HR issues the login -> HOD allocates the timetable,,"Employee/faculty profiles, department, designation, documents and employment status."
03 Staffing,Feb-Apr,HR & Payroll,hr,Employees,Records,Staff ID Card Printing,hr.records.staff_id_card_printing,institution,core,yes,Employees,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll,HOD and Institution Admin,Institution Admin,None,HR appoints -> issues the login -> HOD allocates the work,,"Design and bulk-print plastic ID cards with barcodes, RFID chips, and staff photos."
03 Staffing,Feb-Apr,HR & Payroll,hr,Employees,Records,Staff Service Book Digitalization,hr.records.staff_service_book_digitalization,institution,advanced,yes,ServiceRecords,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll,HOD and Institution Admin,Institution Admin,None,HR appoints -> issues the login -> HOD allocates the work,,"Maintain complete service book history including promotion orders, transfers, and disciplinary actions."
03 Staffing,Feb-Apr,HR & Payroll,hr,Employees,Verification,Staff Criminal Background Verification,hr.verification.staff_criminal_background_verification,institution,advanced,yes,ServiceRecords,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll,HOD and Institution Admin,Institution Admin,None,HR appoints -> issues the login -> HOD allocates the work,,Upload and verify third-party police verification certificates for all teaching and non-teaching staff.
03 Staffing,Feb-Apr,Institution Admin / Principal,institution_admin,Staff,Department,Department academics,institution_admin.department.department_academics,department,core,yes,DepartmentAcademics,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll,HOD and Institution Admin,Institution Admin,None,HR appoints -> issues the login -> HOD allocates the work,,"Programs, courses/subjects, batches/sections and department academic calendar."
03 Staffing,Feb-Apr,Institution Admin / Principal,institution_admin,Staff,Directory & Workload,Faculty allocation & workload,institution_admin.directory_workload.faculty_allocation_workload,department,core,yes,Department,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HOD / Institution Admin,Faculty,,None,"Allocation decides who teaches what, which is what sets every teacher's data scope",,Allocate subjects/classes and balance teaching load; identify overload and gaps.
03 Staffing,Feb-Apr,Institution Admin / Principal,institution_admin,Staff,Directory & Workload,Faculty directory,institution_admin.directory_workload.faculty_directory,department,core,yes,Department,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll,HOD and Institution Admin,Institution Admin,None,HR appoints -> issues the login -> HOD allocates the work,,"Department faculty with assigned subjects, timetable, attendance and workload."
03 Staffing,Feb-Apr,Institution Admin / Principal,institution_admin,Staff,Directory & Workload,Faculty directory & workload,institution_admin.directory_workload.faculty_directory_workload,institution,core,yes,StaffWorkload,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll,HOD and Institution Admin,Institution Admin,None,HR appoints -> issues the login -> HOD allocates the work,,"Teaching staff, their allocations and how loaded each one is."
03 Staffing,Feb-Apr,Institution Admin / Principal,institution_admin,Staff,Directory & Workload,Staff Allocation & Workload,institution_admin.directory_workload.staff_allocation_workload,institution,core,yes,StaffWorkload,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",HR & Payroll,HOD and Institution Admin,Institution Admin,None,HR appoints -> issues the login -> HOD allocates the work,,"View teacher period allocations, weekly teaching load, and balance faculty workloads."
03 Staffing,Feb-Apr,Parent / Guardian,parent,Requests,Leave & Absence,Apply Student Leave,parent.leave_absence.apply_student_leave,children,core,yes,LeaveRequests,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",Parent (applies),Class teacher (decides),Class teacher,Class teacher and HR,Parent applies -> class teacher approves -> register and HR return updated,,Submit digital student leave applications with reason and medical certificate attachments.
03 Staffing,Feb-Apr,Parent / Guardian,parent,Requests,Leave & Absence,Requests,parent.leave_absence.requests,children,core,yes,LeaveRequests,"Appointments and allocation before April; payroll monthly, appraisal in Feb",Year setup: departments and subjects,"Timetable allocation, payroll, leave approval and cover",Faculty / staff member (applies),HOD and HR (decide),HOD / HR,The applicant on decision,Staff applies -> HOD and HR see it -> approved -> cover requested -> payroll balance updated,Student,Submit leave/permission/certificate/help requests on behalf of child where allowed.
04 Timetable,Mar-Apr,Faculty / Teacher,faculty,Teaching,Timetable,My timetable,faculty.timetable.my_timetable,assigned_classes,core,yes,Timetable,"Drafted Jan-Mar against vacant posts, published in April, amended all year","Staffing and year setup: teachers, subjects, sections, periods","Daily attendance, every teacher's data scope, substitution, exam invigilation",HOD / Institution Admin (builds it),Faculty and Student,,None,HOD builds -> published -> defines each teacher's scope -> Faculty and Student read it,,"Daily/weekly teaching schedule, rooms/labs and substitutions."
04 Timetable,Mar-Apr,Faculty / Teacher,faculty,Teaching,Timetable,Substitution Request Submission,faculty.timetable.substitution_request_submission,assigned_classes,core,yes,SubstitutionRequest,"Drafted Jan-Mar against vacant posts, published in April, amended all year","Staffing and year setup: teachers, subjects, sections, periods","Daily attendance, every teacher's data scope, substitution, exam invigilation",Faculty (asks for cover),HOD (assigns it),HOD,The teacher given the period,Faculty requests -> HOD sees who is free -> HOD assigns -> covering teacher alerted,,Request advance leave and propose peer faculty substitution for approval.
04 Timetable,Mar-Apr,HOD / Department Head,hod,Timetable,Timetable,Class timetable,hod.timetable.class_timetable,department,core,yes,MasterTimetable,"Drafted Jan-Mar against vacant posts, published in April, amended all year","Staffing and year setup: teachers, subjects, sections, periods","Daily attendance, every teacher's data scope, substitution, exam invigilation",HOD / Institution Admin (builds it),Faculty and Student,,None,HOD builds -> published -> defines each teacher's scope -> Faculty and Student read it,,"Build and change the timetable for any class or section in the department: pick the class, drop a subject and a teacher into a period, and publish. This is the head of department's own copy of the whole-school grid, narrowed to the classes they are responsible for."
04 Timetable,Mar-Apr,HOD / Department Head,hod,Timetable,Timetable,Department timetable,hod.timetable.department_timetable,department,core,yes,DepartmentTimetable,"Drafted Jan-Mar against vacant posts, published in April, amended all year","Staffing and year setup: teachers, subjects, sections, periods","Daily attendance, every teacher's data scope, substitution, exam invigilation",HOD / Institution Admin (builds it),Faculty and Student,,None,HOD builds -> published -> defines each teacher's scope -> Faculty and Student read it,Institution Admin / Principal,"The department's grid by class, by faculty and by room, read together so a gap in one is explained by the other two."
04 Timetable,Mar-Apr,HOD / Department Head,hod,Timetable,Timetable,Staff timetable,hod.timetable.staff_timetable,department,core,yes,DepartmentTimetable,"Drafted Jan-Mar against vacant posts, published in April, amended all year","Staffing and year setup: teachers, subjects, sections, periods","Daily attendance, every teacher's data scope, substitution, exam invigilation",HOD / Institution Admin (builds it),Faculty and Student,,None,HOD builds -> published -> defines each teacher's scope -> Faculty and Student read it,,"Every teacher in the department, period by period, with their free periods visible. Assign a teacher to a period, move them off one, and see the clash before it is saved rather than after."
04 Timetable,Mar-Apr,HOD / Department Head,hod,Timetable,Timetable,Substitution requests,hod.timetable.substitution_requests,department,core,yes,SubstitutionBoard,"Drafted Jan-Mar against vacant posts, published in April, amended all year","Staffing and year setup: teachers, subjects, sections, periods","Daily attendance, every teacher's data scope, substitution, exam invigilation",Faculty (asks for cover),HOD (assigns it),HOD,The teacher given the period,Faculty requests -> HOD sees who is free -> HOD assigns -> covering teacher alerted,,"Cover requests from the department's teachers: who is away, which period, which class, and why. Assign it to a teacher who is free at that hour and they are told immediately."
04 Timetable,Mar-Apr,Institution Admin / Principal,institution_admin,Academics,Academics,Faculty Substitution Engine,institution_admin.academics.faculty_substitution_engine,institution,core,yes,SubstitutionBoard,"Drafted Jan-Mar against vacant posts, published in April, amended all year","Staffing and year setup: teachers, subjects, sections, periods","Daily attendance, every teacher's data scope, substitution, exam invigilation",Faculty (asks for cover),HOD (assigns it),HOD,The teacher given the period,Faculty requests -> HOD sees who is free -> HOD assigns -> covering teacher alerted,,View absent teachers and assign available proxy teachers based on free periods and expertise.
04 Timetable,Mar-Apr,Institution Admin / Principal,institution_admin,Academics,Academics,Master Timetable Generation,institution_admin.academics.master_timetable_generation,institution,core,yes,MasterTimetable,"Drafted Jan-Mar against vacant posts, published in April, amended all year","Staffing and year setup: teachers, subjects, sections, periods","Daily attendance, every teacher's data scope, substitution, exam invigilation",HOD / Institution Admin (builds it),Faculty and Student,,None,HOD builds -> published -> defines each teacher's scope -> Faculty and Student read it,,Auto-generate clash-free class/faculty timetables with room and subject constraints.
04 Timetable,Mar-Apr,Institution Admin / Principal,institution_admin,Academics,Academics,Timetable,institution_admin.academics.timetable,institution,core,yes,Timetable,"Drafted Jan-Mar against vacant posts, published in April, amended all year","Staffing and year setup: teachers, subjects, sections, periods","Daily attendance, every teacher's data scope, substitution, exam invigilation",HOD / Institution Admin (builds it),Faculty and Student,,None,HOD builds -> published -> defines each teacher's scope -> Faculty and Student read it,Student,"View/manage class, faculty and room timetable; resolve conflicts and substitutions."
04 Timetable,Mar-Apr,Institution Admin / Principal,institution_admin,Staff,Department,Department timetable,institution_admin.department.department_timetable,department,core,yes,DepartmentTimetable,"Drafted Jan-Mar against vacant posts, published in April, amended all year","Staffing and year setup: teachers, subjects, sections, periods","Daily attendance, every teacher's data scope, substitution, exam invigilation",HOD / Institution Admin (builds it),Faculty and Student,,None,HOD builds -> published -> defines each teacher's scope -> Faculty and Student read it,HOD / Department Head,View class/faculty/room timetable and manage department substitutions within permission.
04 Timetable,Mar-Apr,Student,student,Academics,Timetable,Timetable,student.timetable.timetable,self,core,yes,Timetable,"Drafted Jan-Mar against vacant posts, published in April, amended all year","Staffing and year setup: teachers, subjects, sections, periods","Daily attendance, every teacher's data scope, substitution, exam invigilation",HOD / Institution Admin (builds it),Faculty and Student,,None,HOD builds -> published -> defines each teacher's scope -> Faculty and Student read it,Institution Admin / Principal,Daily/weekly class timetable and exam timetable.
04 Timetable,Mar-Apr,Super Admin,super_admin,AI & Automation,AI & Automation,Automated Timetable Optimizer,super_admin.ai_automation.automated_timetable_optimizer,platform,core,yes,TimetableOptimizer,"Drafted Jan-Mar against vacant posts, published in April, amended all year","Staffing and year setup: teachers, subjects, sections, periods","Daily attendance, every teacher's data scope, substitution, exam invigilation",HOD / Institution Admin (builds it),Faculty and Student,,None,HOD builds -> published -> defines each teacher's scope -> Faculty and Student read it,,"Genetic algorithms solving complex multi-variable faculty, room, and elective timetable constraints."
05 Fees,Apr-Mar,Accounts & Finance,finance,Accounting,Assets & Budget,Budgeting & Variance Analysis,finance.assets_budget.budgeting_variance_analysis,institution,advanced,yes,Budgets,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,Set annual departmental budgets and track real-time actual spend versus allocated budget.
05 Fees,Apr-Mar,Accounts & Finance,finance,Accounting,Assets & Budget,Fixed Asset Register & Depreciation,finance.assets_budget.fixed_asset_register_depreciation,institution,advanced,yes,FixedAssets,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Track capital assets with purchase value, useful life and location; compute straight-line or WDV depreciation and post the annual charge."
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Collections,Cashless Campus Wallet,finance.collections.cashless_campus_wallet,campus,core,no,,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,Manage student smart card balances for cashless purchases in school canteen and store.
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Collections,Collect payment,finance.collections.collect_payment,institution,core,yes,FeeCounter,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Parent (pays),Accounts & Finance,,Parent (receipt),Parent pays -> receipt issued -> ledger and arrears updated,,Record cash/bank/online/manual payments with controls and receipt generation.
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Collections,GST Compliant Receipt Numbering,finance.collections.gst_compliant_receipt_numbering,institution,advanced,yes,ReceiptSeries,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Configure gapless receipt series, GST treatment per fee head and financial-year reset rules."
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Collections,Online payments,finance.collections.online_payments,institution,core,yes,Payments,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Parent (pays),Accounts & Finance,,Parent (receipt),Parent pays -> receipt issued -> ledger and arrears updated,,Track gateway payments and payment status.
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Collections,POS Canteen Terminal Integration,finance.collections.pos_canteen_terminal_integration,campus,core,yes,CanteenTerminal,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Manage daily canteen meal purchases, card swipes, diet restrictions, and wallet debits."
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Collections,Partial & advance payments,finance.collections.partial_advance_payments,institution,core,yes,FeeCounter,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Parent (pays),Accounts & Finance,,Parent (receipt),Parent pays -> receipt issued -> ledger and arrears updated,,"Handle permitted partial collection, advances and credit application."
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Collections,Receipts,finance.collections.receipts,institution,core,yes,FeeCounter,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Generate, reprint and verify fee receipts."
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Collections,School Store & Merchandise Sales,finance.collections.school_store_merchandise_sales,campus,core,yes,SchoolStore,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Sell uniforms, stationery, books, and track stock debits against student billing."
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Concessions & Refunds,Discounts / scholarships,finance.concessions_refunds.discounts_scholarships,institution,core,yes,Concessions,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Apply approved concessions, scholarships and sibling discounts with audit trail."
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Concessions & Refunds,Government Reimbursement Claims,finance.concessions_refunds.government_reimbursement_claims,institution,advanced,yes,GovernmentClaims,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Raise and track RTE and fee-reimbursement claims against the state, with sanction and receipt status."
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Concessions & Refunds,Grant-in-Aid Accounting,finance.concessions_refunds.grant_in_aid_accounting,institution,advanced,yes,GrantInAid,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Track government grant-in-aid receipts, utilisation certificates and unspent balances."
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Concessions & Refunds,Multi-Level Concession Approvals,finance.concessions_refunds.multi_level_concession_approvals,institution,core,yes,Concessions,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,Route high-value fee concession requests to Principal/Management for digital sign-off.
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Concessions & Refunds,NSP Scholarship Reconciliation,finance.concessions_refunds.nsp_scholarship_reconciliation,institution,advanced,yes,ScholarshipReconciliation,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,Track National Scholarship Portal and state scholarship disbursements against student ledgers.
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Concessions & Refunds,Refunds,finance.concessions_refunds.refunds,institution,core,yes,Concessions,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,Create and process approved refunds.
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Concessions & Refunds,Student Loan Assistance Portal,finance.concessions_refunds.student_loan_assistance_portal,institution,advanced,yes,LoanAssistance,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,Initiate and track third-party NBFC/Bank education loan application workflows.
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Fee Structure,Class-Wise Fee Structure Configuration,finance.fee_structure.class_wise_fee_structure_configuration,institution,core,yes,Wizard,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance (raises),Parent (pays),Institution Admin approves the structure,Parent on dues (fee),Structure approved -> invoices raised -> parent pays -> receipt -> arrears chased,,"Map fee components, installment amounts, and due dates per class, section, or quota."
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Fee Structure,Demand / invoice generation,finance.fee_structure.demand_invoice_generation,institution,core,yes,DemandGeneration,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance (raises),Parent (pays),Institution Admin approves the structure,Parent on dues (fee),Structure approved -> invoices raised -> parent pays -> receipt -> arrears chased,,Generate student fee demands/invoices for applicable periods.
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Fee Structure,Fee Head & Group Setup,finance.fee_structure.fee_head_group_setup,institution,core,yes,Wizard,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance (raises),Parent (pays),Institution Admin approves the structure,Parent on dues (fee),Structure approved -> invoices raised -> parent pays -> receipt -> arrears chased,,"Define fee heads (Tuition, Transport, Admission, Lab, Sports) and frequency schedules."
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Fee Structure,Fee Structure Versioning,finance.fee_structure.fee_structure_versioning,institution,advanced,yes,FeeStructureVersions,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance (raises),Parent (pays),Institution Admin approves the structure,Parent on dues (fee),Structure approved -> invoices raised -> parent pays -> receipt -> arrears chased,,Version fee structures across academic years with mid-year revision and pro-rata recalculation.
05 Fees,Apr-Mar,Accounts & Finance,finance,Accounting,Ledgers,Chart of Accounts Setup,finance.ledgers.chart_of_accounts_setup,institution,advanced,yes,ChartOfAccounts,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Define primary ledgers, income heads, expense heads, and asset/liability structure."
05 Fees,Apr-Mar,Accounts & Finance,finance,Accounting,Ledgers,Expenses / accounting,finance.ledgers.expenses_accounting,institution,core,yes,Expenses,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,Basic institutional expense/account views if accounting is part of the ERP; otherwise integrate with finance system.
05 Fees,Apr-Mar,Accounts & Finance,finance,Accounting,Ledgers,Financial Year Closing,finance.ledgers.financial_year_closing,institution,advanced,yes,YearClosing,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Execute year-end financial closing, carry forward balances, and lock prior accounting periods."
05 Fees,Apr-Mar,Accounts & Finance,finance,Accounting,Ledgers,General Ledger & Trial Balance,finance.ledgers.general_ledger_trial_balance,institution,advanced,yes,GeneralLedger,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Post and review double-entry vouchers, run a trial balance, income and expenditure statement and balance sheet for the year; the books an auditor asks for."
05 Fees,Apr-Mar,Accounts & Finance,finance,Accounting,Payables,Petty Cash Voucher Management,finance.payables.petty_cash_voucher_management,institution,advanced,yes,PettyCash,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Log daily cash expenses, upload paper receipts, and enforce petty cash limit approvals."
05 Fees,Apr-Mar,Accounts & Finance,finance,Accounting,Payables,Vendor Management & Accounts Payable,finance.payables.vendor_management_accounts_payable,institution,core,yes,Payables,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,"Maintain vendor directory, log purchase bills, track due dates, and issue payment vouchers."
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Reconciliation,Bank Reconciliation Statement (BRS),finance.reconciliation.bank_reconciliation_statement_brs,institution,advanced,yes,BankReconciliation,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,Reconcile internal cashbook entries against official bank statement passbooks.
05 Fees,Apr-Mar,Accounts & Finance,finance,Fees,Reconciliation,Connected Banking Payouts,finance.reconciliation.connected_banking_payouts,institution,core,yes,BankingPayouts,Invoices raised in April and per term; collection and arrears chased monthly,"Enrolment, and the fee structure published for the year","Collection reports, arrears chasing, the TC dues gate, statutory returns",Accounts & Finance,Parent,Institution Admin,Parent on dues (fee),Structure -> invoice -> parent pays -> receipt -> arrears,,Execute direct vendor payments and staff refund transfers directly from ERP via API.
