Role,Workspace,Section,Feature,What User Sees & Does,Data Scope,Priority,Tier
Parent / Guardian,Fees,Fees,Fees & payments,"Dues, installments, online payment, payment history and receipts.",Linked child/children only,Must-Have,core
Parent / Guardian,Fees,Fees,Fee receipts,"Every payment the school has banked, with the receipt number, what it was for and how it was paid. Open one and save it as a PDF or print it — it carries the school's own letterhead.",Specific student,Must-Have,core
Parent / Guardian,Fees,Fees,Child Daily Cafeteria Purchase Timeline,"View exact timestamped items, prices, and nutritional content bought by child in canteen.",Specific student,Should-Have,optional
Parent / Guardian,Transport,My Child's Bus,Live bus tracking,"Your child's bus: the route, the vehicle, their stop and when it is due — and where the bus is now, how far from the stop, and which way it is heading. Only appears if your child actually travels by bus.",Specific student,Should-Have,core
Parent / Guardian,Transport,Alerts & Preferences,Parent Bus Proximity Radius Customizer,"Allow parents to set custom distance alerts (e.g., alert me when bus is 1 km or 500m away).",Specific student,Should-Have,optional
Parent / Guardian,Transport,Alerts & Preferences,Real-time School Bus Live Video Feed Access,Permit authorized parents to view 15-second live video camera check-ins of child's bus during transit.,Specific student,Must-Have,optional
Parent / Guardian,Transport,Alerts & Preferences,Parent App Live Bus Tracking Refresh Rate Customizer,"Select bus GPS map refresh frequency (e.g., 5 seconds vs 15 seconds) to save mobile battery.",Specific student,Should-Have,optional
Parent / Guardian,School,Messages,Communication,"Circulars, announcements and permitted teacher/school messages.",Linked child/children only,Must-Have,core
Parent / Guardian,School,Messages,Direct Teacher Messaging,Send structured query messages directly to class teacher during designated hours.,Specific student,Should-Have,core
Parent / Guardian,School,School Life,Calendar & PTM,"Exams, holidays, events, parent-teacher meetings and booking where enabled.",Linked child/children only,Must-Have,core
Parent / Guardian,School,School Life,Parent-Teacher Meeting Booking,"The slots the school has opened for parent-teacher meetings, and the one you have booked — with a reminder before it, so a meeting agreed three weeks ago is not missed on the morning.",Specific student,Should-Have,core
Parent / Guardian,School,School Life,School Photo & Video Gallery,"View high-resolution photos and videos from school sports day, annual day, and events.",Specific student,Should-Have,core
Parent / Guardian,School,School Life,Live Event Seating Pass,Download barcoded digital entry passes with pre-allocated row/seat numbers for school events.,Specific student,Should-Have,optional
Parent / Guardian,Documents,Documents,Certificate requests,"Ask the office for a document about your child — bonafide, transfer certificate, conduct certificate, a duplicate ID card — and follow each request until the signed copy is ready to download.",Linked child/children only,Must-Have,core
Parent / Guardian,Requests,Leave & Absence,Apply Student Leave,Submit digital student leave applications with reason and medical certificate attachments.,Specific student,Must-Have,core
Parent / Guardian,Requests,Consent,Consent & acknowledgement,"Every slip the school needs signed — trips, medical, photography, data — with what you have already agreed to and when. Signing is one tap and the record is kept.",Linked child/children only,Must-Have,core
Parent / Guardian,Requests,Consent,Parent Delegation for Emergency Pickup,Generate single-use digital QR authorization passes for friends/relatives picking up child in emergency.,Specific student,Should-Have,core
Parent / Guardian,Requests,Documents,DigiLocker Document Pull,Fetch the child's school-issued certificates and mark sheets directly into the parent's DigiLocker.,Specific student,Must-Have,advanced
Parent / Guardian,Profile,Profile,Digital Student ID Card View,Access child's digital student ID card with QR code directly within the mobile app.,Specific student,Must-Have,optional
Parent / Guardian,Profile,Profile,Digital Parent ID Card for Campus Entry,Display dynamic encrypted QR code parent ID on mobile app screen for entry at school gates.,Specific student,Should-Have,optional
Parent / Guardian,Profile,Profile,Parent App Biometric Lock (Face ID / Fingerprint),Allow parents to secure mobile app access using smartphone hardware biometric authentication.,Specific student,Should-Have,optional
Parent / Guardian,Profile,Profile,Language,Read the app in English or Telugu. The choice is yours alone — it does not change what anybody else sees.,Specific student,Should-Have,core
Parent / Guardian,Profile,Profile,Parent App Dark Mode & High Contrast Accessibility,Toggle high-contrast text modes and dark UI themes for low-vision parent app users.,Specific student,Nice-to-Have,optional
Admissions & Front Office,Home,Home,Dashboard,"New enquiries, applications received, offers pending and enrolment conversion, with the follow-ups due today underneath.",Assigned institution/campus admissions scope,Must-Have,core
Admissions & Front Office,Admissions,Enquiries,Enquiries,"Every enquiry the school has taken — walk-in, telephone, website or referral — with the child, the class sought, the parent's number, how warm it is and who is chasing it. Add one at the counter while the parent is still standing there.",Assigned institution/campus admissions scope,Must-Have,core
Admissions & Front Office,Admissions,Enquiries,Assign Leads,"Enquiries nobody is chasing yet. Tick several, pick the counsellor, and they are told at once — so a Monday morning's forty enquiries are shared out in one action rather than opened one at a time.",Assigned institution/campus,Must-Have,core
Admissions & Front Office,Admissions,Enquiries,Follow-up Calls,"The calls you owe parents today about their enquiry: who to ring, what was said last time, and what you promised. Write the remark and set the next date without leaving the row.",Assigned institution/campus,Must-Have,core
Admissions & Front Office,Admissions,Enquiries,24/7 Admission Chatbot,"Configure web widget chatbot to answer tuition queries, syllabus details, and capture leads.",Assigned institution/campus,Nice-to-Have,optional
Admissions & Front Office,Admissions,Enquiries,AI Voice Agent Integration,Automate outbound AI voice agent calls to confirm entrance exam attendance or follow up.,Assigned institution/campus,Nice-to-Have,optional
Admissions & Front Office,Admissions,Enquiries,Campus Visits,"Open houses, campus tours and counselling days: the slots on offer, who has booked one, who is showing them round, and who actually turned up. A slot that is full cannot be booked twice.",Assigned institution/campus,Must-Have,core
Admissions & Front Office,Admissions,Applications,Application Forms,"Every form submitted, searchable by class and by whether the form fee is paid, with the filled form printable as it was answered.",Assigned institution/campus admissions scope,Must-Have,core
Admissions & Front Office,Admissions,Applications,Document Verification,"Birth certificate, Aadhaar, transfer certificate and the last report card — each one marked verified, rejected or to be resubmitted, with the reason the parent is told.",Assigned institution/campus admissions scope,Must-Have,core
Admissions & Front Office,Reports,Reports,Admission reports,"Enquiries, applications and admissions with the conversion between them — the numbers a management committee asks for. Exports to a spreadsheet.",Assigned institution/campus,Must-Have,core
Admissions & Front Office,Reports,Reports,Dropped leads,"Why parents did not join, counted: fees, distance, chose another school. The reason is asked for when an enquiry is marked lost, so this is built from what was actually recorded.",Assigned institution/campus,Must-Have,core
Admissions & Front Office,Communication,Communication,Messages,"One colleague at a time. The staff address book, and the thread you have with each of them — for asking the office or a class teacher something, rather than sending a notice to the school.",Assigned institution/campus,Must-Have,core
Admissions & Front Office,Communication,Communication,Applicant communication,"Tell a family their offer is out, what paperwork is still missing, or when the entrance test is — by SMS, WhatsApp or email, to the families behind the applications you choose.",Assigned institution/campus admissions scope,Must-Have,core
HR & Payroll,Home,Home,Dashboard,"Who is away today and whose classes need covering, what paperwork is lapsing or missing, and the three jobs a day is mostly made of.",Assigned institution/campus employees,Must-Have,core
HR & Payroll,Attendance & Leave,Attendance,Staff register,"Today's attendance for every active member of staff, marked in one pass.",Assigned institution/campus employees,Must-Have,core
HR & Payroll,Attendance & Leave,Attendance,Biometric Machine Attendance Sync,Real-time automated fetch of staff check-in/out logs from biometric hardware.,Assigned institution/campus,Must-Have,advanced
HR & Payroll,Attendance & Leave,Attendance,Biometric Punch In/Out Grace Period,Configure 10-minute grace windows for morning staff check-in before triggering late mark deductions.,Assigned institution/campus,Must-Have,advanced
HR & Payroll,Attendance & Leave,Attendance,Staff duty roster,"Assign staff to campus duties - gate, ground, exam supervision, bus escort, library and lab. You are warned if a duty clashes with a lesson they teach.",Assigned institution/campus,Should-Have,core
HR & Payroll,Attendance & Leave,Leave,Leave,"Leave balances, requests, approvals and holiday calendar.",Assigned institution/campus employees,Should-Have,core
HR & Payroll,People,Hiring & Training,Staff hiring,"Create job openings, track the people who apply and the demo lesson that decides, and turn a hire into a staff record without anybody typing the details a second time.",Assigned institution/campus employees,Should-Have,core
HR & Payroll,People,Hiring & Training,Staff performance reviews,"Set up the yearly review cycle for teachers and staff: the scoring scale, when self-assessments are due and when the principal's review is due. Scores are kept on the staff member's record.",Assigned institution/campus,Must-Have,core
HR & Payroll,People,Hiring & Training,Staff training & development,"The training hours each board requires — CBSE asks fifty a year of teaching staff — and who is short of them, worst first, so the gap is closed before an inspection finds it.",Assigned institution/campus,Should-Have,core
HR & Payroll,Reports,Reports,Staff analytics & reports,"Monthly summaries of staff numbers, who joined and left, attendance and leave, how teaching load is spread, and the papers coming up for renewal.",Assigned institution/campus employees,Must-Have,core
Seller Admin,Home,Home,Dashboard,"The business on one page: active school tenants, who is still onboarding, monthly recurring revenue and whether every school is actually being used — with the provisioning log underneath and one place to broadcast a maintenance notice to all of them at once.",All schools / all branches,Must-Have,core
Seller Admin,Schools,Schools,Schools,"Every school on this installation with its plan, student headcount, status and the date it joined. Search by name, open one to act inside it for support.",All institutions / all campuses,Must-Have,core
Seller Admin,Schools,Schools,Add School,"Create a school, its first campus and its first administrator in one step, and hand over the credentials.",All institutions / all campuses,Must-Have,core
Seller Admin,Schools,Schools,Access,"Who may sign in and who may not: suspend a school for non-payment or at the end of a contract — blocking sign-in while keeping every record — and let them back in on settlement. The suspension takes effect on the next request, not the next restart.",All institutions / all campuses,Must-Have,core
Seller Admin,Schools,Schools,Setup,"How far each new school has got through setup, and which step it is stuck on, so an account manager can intervene before a stalled rollout becomes a cancellation.",All institutions / all campuses,Should-Have,core
Seller Admin,Subscriptions & Billing,Subscriptions & Billing,Plans & Pricing,"Define plans with a student cap, included modules and an annual or per-student price.",All institutions / all campuses,Must-Have,core
Seller Admin,Subscriptions & Billing,Subscriptions & Billing,Subscription Ledger,"Each school's plan, term dates, renewal date and invoice history.",All institutions / all campuses,Must-Have,core
Seller Admin,Subscriptions & Billing,Subscriptions & Billing,License & Capacity,"Schools past the students their plan allows, and those inside the renewal window, with the revenue at risk against each. Counted from the live headcount, so a school that admitted forty children this morning shows forty seats used.",All institutions / all campuses,Must-Have,core
Seller Admin,Entitlements,Entitlements,Module Entitlement Matrix,Which modules each plan and each school may use; switching one off hides it from that school's navigation.,All institutions / all campuses,Must-Have,core
Seller Admin,Usage & Health,Usage & Health,Adoption Metrics,"Sign-ins, active users and transactions per school per week — the leading indicator of renewal.",All institutions / all campuses,Should-Have,core
Seller Admin,Usage & Health,Usage & Health,Instance Health,"Error rates, queue depth and slow endpoints per tenant, so the vendor sees a problem before the school reports it.",All institutions / all campuses,Must-Have,core
Seller Admin,Usage & Health,Usage & Health,Usage & Cost,"What each school actually uses — files stored, records held, messages sent — against what the installation costs to run. Enter the monthly bill once and every school's share is read against what it pays, so a customer's price can be seen next to its cost.",All schools / all branches,Must-Have,core
Seller Admin,Support,Support,Support,"Tickets raised by schools, with the tenant, severity, owner and time open.",All institutions / all campuses,Must-Have,core
Seller Admin,Support,Support,Audit,"Act as a school's administrator to reproduce a fault, with every such session recorded and visible to that school.",All institutions / all campuses,Must-Have,core
HOD / Department Head,Home,Home,Dashboard,"Your department before nine o'clock: who is out and how many of their periods nobody is covering, what is waiting on your decision, and which of your registers have not been taken.",Assigned department only,Must-Have,core
HOD / Department Head,Timetable,Timetable,Class timetable,"Build and change the timetable for any class or section in the department: pick the class, drop a subject and a teacher into a period, and publish. This is the head of department's own copy of the whole-school grid, narrowed to the classes they are responsible for.",Assigned department only,Must-Have,core
HOD / Department Head,Timetable,Timetable,Staff timetable,"Every teacher in the department, period by period, with their free periods visible. Assign a teacher to a period, move them off one, and see the clash before it is saved rather than after.",Assigned department only,Must-Have,core
HOD / Department Head,Timetable,Timetable,Department timetable,"The department's grid by class, by faculty and by room, read together so a gap in one is explained by the other two.",Assigned department only,Must-Have,core
HOD / Department Head,Timetable,Timetable,Substitution requests,"Cover requests from the department's teachers: who is away, which period, which class, and why. Assign it to a teacher who is free at that hour and they are told immediately.",Assigned department only,Must-Have,core
HOD / Department Head,Academics,Academics,Language subject allocation,"Which language each student takes as L1 and as L2, set for one student or for a whole list at once. Sits here and with the principal because it decides section grouping, not lesson content.",Assigned department only,Must-Have,core
HOD / Department Head,Academics,Academics,Faculty allocation,"Which teacher teaches which subject to which section, across the department, with each teacher's total periods shown so the load can be seen while it is being set.",Assigned department only,Must-Have,core
HOD / Department Head,Staff,Staff,Teacher remarks,"Write a remark about a teacher in the department, and read the remarks others have written about them. The teacher sees it on their own screen.",Assigned department only,Should-Have,core
HOD / Department Head,Staff,Staff,Leaves & Subs,"Leave requested by your own department's staff, with the periods it would leave uncovered shown beside it. Either you or the principal may approve; whoever gets there first decides it.",Assigned department only,Must-Have,core
HOD / Department Head,My Work,My Profile,Profile,Own details and password.,Self only,Must-Have,core
HOD / Department Head,My Profile,My Profile,Leave & self service,"Apply for your own leave, and see where it has got to. Approving the department's leave is a different screen.",Self only,Must-Have,core
HOD / Department Head,Department Workspace,Timetable,My timetable,"Their own teaching week: the periods they stand in front of a class for, apart from the master timetable they build for everybody else.",Self + assigned classes/subjects,Must-Have,core
HOD / Department Head,Department Workspace,Attendance,Take attendance,Mark the register for the classes they teach.,Self + assigned classes/subjects,Must-Have,core
HOD / Department Head,Department Workspace,Teaching,Homework / classwork,"Set and grade homework for their own classes, and see who has turned it in.",Self + assigned classes/subjects,Must-Have,core
HOD / Department Head,Department Workspace,Teaching,Lesson plans / content,Write and submit their own lesson plans. Approving other teachers' plans is a different screen.,Self + assigned classes/subjects,Must-Have,core
HOD / Department Head,Department Workspace,Marks & Report Cards,Marks entry,Enter exam marks for the papers they teach.,Self + assigned classes/subjects,Must-Have,core
HOD / Department Head,Department Workspace,Marks & Report Cards,Report cards,Generate and publish report cards for a section they are class teacher of.,Self + assigned classes/subjects,Must-Have,core
HOD / Department Head,Department Workspace,Communication,Communication,"Notices home to the classes they teach, and the thread with a parent about one child.",Self + assigned classes/subjects,Must-Have,core
HOD / Department Head,Department Workspace,Communication,Messages,One colleague at a time. The staff address book and the thread with each of them.,Self + assigned classes/subjects,Must-Have,core
Parent / Guardian,My Child,Academics,Child remarks,"Everything your child's teachers have written about them — commendations and concerns alike — newest first, with the teacher's name and the day it happened. You are told the same day rather than at the next parents' evening.",Linked child/children only,Must-Have,core
Faculty / Teacher,My Work,My Profile,Student leave requests,"Leave a parent has applied for on behalf of a child in your class: who, which days, and why, with approve or decline. Separate from your own leave, which is an employment matter and goes to HR and your head of department.",Assigned classes/subjects,Must-Have,core
Faculty / Teacher,My Work,My Profile,Remarks about me,"What your head of department, the principal or a parent has written about you. You are told when one is added.",Self only,Should-Have,core
Parent / Guardian,My Child,Messages,Teacher remarks,Write a remark about one of your child's teachers. It reaches the head of department and the teacher.,Linked child/children only,Should-Have,core
Institution Admin / Principal,Staff,Staff,Leaves & Subs,"Leave the department heads have passed up, and long leave that needs the principal's signature. Shows who is away today across the school and which periods are still uncovered.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Fees,Fees,Fee Default,"Who is behind, by how much and for how long, grouped by class. The accountant works the counter; this is the list a principal takes into a parent meeting.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Communication,Communication,Messages,"A message to one colleague — a head of department, a class teacher — rather than a notice to the school. Every member of staff is listed whether or not you have written to them before.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,My Profile,My Profile,Leave & self service,"Apply for your own leave, and see where it has got to. A principal takes leave too.",Self only,Must-Have,core
Institution Admin / Principal,My Profile,My Profile,My pay,"Your own payslips month by month, what was taken off and how much of it was tax, the days you were marked present, and the leave you have left. Only ever your own.",Self only,Must-Have,core
HOD / Department Head,My Profile,My Profile,My pay,"Your own payslips month by month, what was taken off and how much of it was tax, the days you were marked present, and the leave you have left. Only ever your own.",Self only,Must-Have,core
Faculty / Teacher,My Work,My Profile,My pay,"Your own payslips month by month, what was taken off and how much of it was tax, the days you were marked present, and the leave you have left. Only ever your own.",Self only,Must-Have,core
HR & Payroll,My Profile,My Profile,My pay,"Your own payslips month by month, what was taken off and how much of it was tax, the days you were marked present, and the leave you have left. Only ever your own.",Self only,Must-Have,core
Admissions & Front Office,My Profile,My Profile,My pay,"Your own payslips month by month, what was taken off and how much of it was tax, the days you were marked present, and the leave you have left. Only ever your own.",Self only,Must-Have,core
Librarian,My Profile,My Profile,My pay,"Your own payslips month by month, what was taken off and how much of it was tax, the days you were marked present, and the leave you have left. Only ever your own.",Self only,Must-Have,core
Transport Manager,My Profile,My Profile,My pay,"Your own payslips month by month, what was taken off and how much of it was tax, the days you were marked present, and the leave you have left. Only ever your own.",Self only,Must-Have,core
HOD / Department Head,Department Workspace,Exams,Question paper approval,"Papers your teachers have sent for approval before an exam: open the paper, approve it for printing, or send it back with the reason. The teacher is told either way, and who approved it is kept.",Assigned department only,Must-Have,core
Faculty / Teacher,My Work,Exams,Question papers,"Attach the paper for each exam you set and send it to your head of department. Shows where each one has got to, and what to change on any that came back.",Self + assigned classes/subjects,Must-Have,core
Institution Admin / Principal,Academics,Exams,Question paper approval,"Every paper waiting to be read, across the school, with who set it and when the exam is.",Assigned institution/campus,Must-Have,core
HOD / Department Head,Department Workspace,Exams,Mark moderation,"Each paper in your department with its average, its highest and lowest, and how many fell below the pass mark — so a paper that came out harsh is visible. Add or take off marks across the whole paper with a reason, kept as grace marks so what the teacher marked stays.",Assigned department only,Must-Have,core
Institution Admin / Principal,Academics,Exams,Mark moderation,"The same paper-by-paper view across every department, and the record of who moderated what.",Assigned institution/campus,Must-Have,core
Accounts & Finance,Home,Home,Dashboard,"Collected today, collected this month, what is still outstanding, and the handful of things that need somebody this morning.",Assigned institution/campus finance scope,Must-Have,core
Accounts & Finance,Fees,Fees,Take fee payment,"The counter. Find the student, take cash, card or cheque against what they owe, and print the receipt before they leave the window. Part payments and advances are the same screen.",Assigned institution/campus finance scope,Must-Have,core
Accounts & Finance,Fees,Fees,Online fee portal,"Fees paid from home through the parent app, as they arrive: what succeeded, what failed and what the gateway is still holding, so a parent who says they paid can be answered.",Assigned institution/campus finance scope,Must-Have,core
Accounts & Finance,Fees,Fees,Unpaid fees & reminders,"Who has not paid and how late they are, with the late fine applied by rule rather than by argument, and a reminder sent by WhatsApp, SMS or email. Post-dated and bounced cheques sit here too.",Assigned institution/campus finance scope,Must-Have,core
Accounts & Finance,Fees,Fees,Class & transport fee setup,"What each class is charged for the year — tuition, lab, transport by distance — with concessions and refunds, the receipt series, and the one action that turns the structure into every parent's invoice.",Assigned institution/campus finance scope,Must-Have,core
Accounts & Finance,Campus Money,Campus Money,Cafeteria & store sales,"A till for the canteen and one for the store: record what a student bought for lunch, a book or a uniform, and close the drawer at the end of the day against what it should hold.",Assigned institution/campus finance scope,Must-Have,core
Accounts & Finance,Campus Money,Campus Money,Donations & aid,"Money that comes from outside the school — grant-in-aid, government scholarships, alumni giving, education loans — tracked apart from tuition so it can be accounted for to whoever gave it.",Assigned institution/campus finance scope,Must-Have,core
Accounts & Finance,Accounts,Accounts,Approve & pay salaries,"What HR calculated for the month, read before the money moves, and then the bank file that releases it. Finance approves and pays; HR decides the numbers.",Assigned institution/campus finance scope,Must-Have,core
Accounts & Finance,Accounts,Accounts,Vendor bills & petty cash,"Money leaving the school: supplier invoices for electricity and construction at one end, the tea and the minor repair at the other, and every expense in between.",Assigned institution/campus finance scope,Must-Have,core
Accounts & Finance,Accounts,Accounts,School property & budgeting,"Next year's spending limits against this year's actuals, and the register of what the school owns — buses, computers, desks — with what each is worth after depreciation.",Assigned institution/campus finance scope,Must-Have,core
Accounts & Finance,Banking & Reports,Banking & Reports,Match bank records,"The bank statement against what the software recorded, cash and online together, so the month closes on one number rather than two. Student bank accounts for refunds and scholarships sit alongside.",Assigned institution/campus finance scope,Must-Have,core
Accounts & Finance,Banking & Reports,Banking & Reports,Accounting & tax reports,"The daybook and cashbook, the ledger and trial balance, the chart of accounts, the year-end close, and the tax and audit statements — with a one-click export for the school's accountant.",Assigned institution/campus finance scope,Must-Have,core
Accounts & Finance,My Profile,My Profile,My pay,"Your own payslips month by month, what was taken off and how much of it was tax, the days you were marked present, and the leave you have left. Only ever your own.",Self only,Must-Have,core
HR & Payroll,Employees,Records,Staff records,"Everyone who works here, in three tabs: the staff list with contact details and sign-in, the documents that are lapsing or missing, and ID card printing for one person or the whole school at once. Adding a new member of staff starts here.",Assigned institution/campus employees,Must-Have,core
HR & Payroll,Employees,Records,Service book & qualifications,"The service record kept for each teacher over their career — postings, promotions, increments — and their degrees and teaching qualifications, which is what an inspector asks to see.",Assigned institution/campus employees,Should-Have,core
HR & Payroll,Employees,Onboarding & Exit,Staff joinings & exits,"One page, four tabs: the KYC and documents a new appointment depends on; the resignation, notice period and department-by-department clearance an exit runs through; the appointment, experience and relieving letters issued along the way; and transfers between campuses or departments. The final settlement stays locked until every department has signed.",Assigned institution/campus employees,Must-Have,core
HR & Payroll,Attendance & Leave,Leave,Leave rules,"The rules leave is decided by: how much of each type staff get a year, what counts as a late arrival and when it becomes loss of pay, and how a half day is deducted. Set once; every leave request and every payslip follows it.",Assigned institution/campus employees,Should-Have,core
HR & Payroll,Payroll,Payroll,Monthly payroll,"Run the month's salaries, with loss of pay taken from the staff register rather than typed in. The register shows every employee's days worked, gross, deductions and take-home; from here the payslips are published to staff and the bank file is downloaded to pay them.",Assigned institution/campus employees,Must-Have,core
HR & Payroll,Payroll,Payroll,Salary setup,"What each member of staff is paid, and the components a payslip is built from — basic, allowances, provident fund, tax. Payroll can only pay somebody who has a salary set here. A raise is recorded as a revision from a date, so last year's payslips still explain themselves.",Assigned institution/campus employees,Must-Have,core
HR & Payroll,Payroll,Payroll,Taxes & statutory,"Provident fund, state insurance and professional tax computed from the payslips actually issued, with the ECR and bank files government filing needs. Income tax and declarations, salary advances, gratuity liability, and the contractor bills for security and housekeeping staff.",Assigned institution/campus employees,Must-Have,core
HR & Payroll,People,Welfare,Staff welfare,"Grievances raised by staff and how they were answered, the recognition wall, and whose birthday or work anniversary falls this week.",Assigned institution/campus employees,Should-Have,core
Institution Admin / Principal,Academics,Examinations,Exams & papers,"Every exam the school has scheduled and how many papers it holds. An exam with no papers cannot be marked, moderated, or turned into a report card, so this is where they are created — one for every subject each class studies.",Assigned institution/campus,Must-Have,core
Admissions & Front Office,Admissions,Admissions,Seat Allotment,"Rank the applicants on the weights the school has set — test score, sibling, distance — against the seats sanctioned for each class, and publish the list. Seats cannot be allotted past the sanctioned strength.",Assigned institution/campus admissions scope,Must-Have,core
Admissions & Front Office,Admissions,Admissions,RTE Quota,"The 25% the Act requires: applicants claiming it, the state portal reference against each, seats filled against seats mandated, and the zero-fee tag that keeps them out of the fee run while staying on the government return.",Assigned institution/campus admissions scope,Must-Have,core
Admissions & Front Office,Admissions,Admissions,Waitlist,"Who is next if a seat is given up, in order, with the date they went on.",Assigned institution/campus admissions scope,Must-Have,core
Admissions & Front Office,Admissions,Admissions,Fee & Enrollment,"The admission fee, the caution deposit and the first term, and the one step that turns a paid acceptance into an enrolled student with an admission number and a section — without anybody typing the child's details a second time.",Assigned institution/campus admissions scope,Must-Have,core
Admissions & Front Office,Front Desk,Front Desk,Front desk,"Visitors on the premises, appointments booked, calls taken and post in and out — the four registers the front desk keeps, on one screen.",Assigned institution/campus admissions scope,Must-Have,core
Receptionist / Front Office,Front Desk,Front Desk,Front desk,"Visitors on the premises, appointments booked, calls taken and post in and out — the four registers the front desk keeps, on one screen.",Assigned institution/campus admissions scope,Must-Have,core
Receptionist / Front Office,Communication,Communication,Messages,"One colleague at a time. The staff address book, and the thread you have with each of them — for asking the office or a class teacher something, rather than sending a notice to the school.",Assigned institution/campus,Must-Have,core
Receptionist / Front Office,My Profile,My Profile,My pay,"Your own payslips month by month, what was taken off and how much of it was tax, the days you were marked present, and the leave you have left. Only ever your own.",Self only,Must-Have,core
Institution Admin / Principal,Hostel,Hostel,Hostel & rooms,"Blocks, rooms and who sleeps where, with the roll call taken against it.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Hostel,Hostel,Outpasses & mess,"Leave out of the hostel, complaints raised from it, and the week’s mess menu.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Hostel,Hostel,Night study attendance,"Who was in the study hall, taken the way the register is.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Hostel,Hostel,Room inventory checklists,"What each room holds and what condition it is in — checked in, checked out.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Hostel,Hostel,Hostel visitor log,"Who came to see a boarder, when they arrived and when they left.",Assigned institution/campus,Must-Have,core
Institution Admin / Principal,Hostel,Hostel,Boarder laundry,"Bundles out and back, so a missing shirt has a record rather than an argument.",Assigned institution/campus,Must-Have,core
