Role,Workspace,Section,Feature,What it does,Data scope,Priority,Tier,Status,Cluster
Student,Home,Home,Custom Theme Selection,"Customize student portal appearance with dark mode, high-contrast mode, or color themes.",Specific student,Must-Have,optional,Buildable now,Student › Home
Student,Home,Home,Digital Diary & Schedule,"Track personal study schedules, project deadlines, and school calendar events.",Specific student,Must-Have,core,Buildable now,Student › Home
Student,Academics,Homework,Classmate Homework Help Forum,Moderated discussion board where students can post homework questions and share study hints.,Specific student,Must-Have,optional,Buildable now,Student › Homework
Student,Academics,Homework,Classroom Note-Sharing Repository,"Peer-moderated repository where student notes, summaries, and revision guides are shared and upvoted.",Specific student,Must-Have,core,Buildable now,Student › Homework
Student,School,Notices & Calendar,Calendar,"Academic calendar, holidays, events and deadlines.",Self only,Must-Have,core,Buildable now,Student › Notices & Calendar
Student,School,Notices & Calendar,Library Book Hold Request,Reserve available library books online for pickup at the start of the next school day.,Specific student,Must-Have,core,Buildable now,Student › Notices & Calendar
Student,Requests,Requests,Documents,"Access published certificates, receipts, report cards and permitted personal documents.",Self only,Must-Have,core,Buildable now,Student › Requests
Student,Requests,Requests,Requests,"Leave, certificate, bonafide, ID card, add/drop or help request depending on institution type.",Self only,Must-Have,core,Buildable now,Student › Requests
Student,School,Wellbeing,Self-Referral to School Counselor,Discreet digital button allowing students to request a private chat or meeting with the counselor.,Specific student,Must-Have,core,Buildable now,Student › Wellbeing
Student,School,Wellbeing,Wellness & Mood Check-In Widget,"Daily 5-second mood check-in allowing students to express how they feel (Happy, Stressed, Overwhelmed).",Specific student,Must-Have,core,Buildable now,Student › Wellbeing
Super Admin,Platform Setup,Messaging,Automated Trigger Rules,"Set trigger conditions for instant automated notifications on absence, fee due, or bus delay.",All institutions / all campuses,Must-Have,core,Buildable now,Super Admin › Messaging
Super Admin,Platform Setup,Messaging,Email Server (SMTP) Integration,"Configure SMTP credentials, send grid settings, DKIM/SPF verification, and email dispatch logs.",All institutions / all campuses,Must-Have,core,Buildable now,Super Admin › Messaging
Accounts & Finance,Accounting,Export,Tally Prime XML Export,"Export daybook vouchers, fee sales, and cash receipts in Tally-compatible XML format.",Assigned institution/campus,Must-Have,advanced,Buildable now,Accounts & Finance › Export
Accounts & Finance,Fees,Fee Structure,Fee Structure Versioning,Version fee structures across academic years with mid-year revision and pro-rata recalculation.,Assigned institution/campus,Must-Have,advanced,Buildable now,Accounts & Finance › Fee Structure
Accounts & Finance,Fees,Student Dues,Late Fine Rules Engine,"Configure daily, fixed, or percentage-based late fee fines with grace period thresholds.",Assigned institution/campus,Must-Have,core,Buildable now,Accounts & Finance › Student Dues
Admissions & Front Office,Admissions,Applications,Online Application Form Builder,Configure custom digital admission application forms with file upload rules and field validation.,Assigned institution/campus,Must-Have,core,Buildable now,Admissions & Front Office › Applications
Admissions & Front Office,Reports,Reports,Lost Lead Reason Analysis,"Record and analyze rejection/drop-out reasons (Fee too high, Distance, Selected other school).",Assigned institution/campus,Must-Have,core,Buildable now,Admissions & Front Office › Reports
Faculty / Teacher,My Classes,Attendance,Offline Attendance & Diary Capture,"Mark attendance and write diary notes with no network, held on the device and synchronised automatically once a connection returns.",Assigned classes/subjects,Nice-to-Have,core,Buildable now,Faculty › Attendance
Faculty / Teacher,Teaching,Timetable,Substitution Request Submission,Request advance leave and propose peer faculty substitution for approval.,Assigned classes/subjects,Should-Have,core,Buildable now,Faculty › Timetable
HR & Payroll,Attendance & Leave,Attendance,Staff Shift & Rostering,"Configure morning, afternoon, or administrative staff shift timings and rotational rosters.",Assigned institution/campus,Should-Have,core,Buildable now,HR & Payroll › Attendance
HR & Payroll,Reports,Reports,HR reports,"Headcount, attendance, leave and payroll summaries.",Assigned institution/campus employees,Must-Have,core,Buildable now,HR & Payroll › Reports
Institution Admin / Principal,Staff,Evaluation,360 Evaluation Oversight,"Monitor teacher peer reviews, principal observations, and parent feedback ratings.",Assigned institution/campus,Must-Have,core,Buildable now,Institution Admin › Evaluation
Institution Admin / Principal,Home,Home,Today,Today's classes/exams/events and important announcements.,Assigned institution/campus,Must-Have,core,Buildable now,Institution Admin › Home
Institution Admin / Principal,Administration,Mid-Day Meal,MDM Utilisation Report,"Reconcile meals served against enrolment and attendance, and generate the monthly utilisation return.",Assigned institution/campus,Must-Have,advanced,Buildable now,Institution Admin › Mid-Day Meal
Institution Admin / Principal,Reports,Standard,Fee Collection Summaries,"View real-time fee collection breakdown by class, payment mode, and outstanding aging.",Assigned institution/campus,Must-Have,core,Buildable now,Institution Admin › Standard
Institution Admin / Principal,Operations,Stores,Purchase Order Workflow,"Raise Purchase Requisitions, compare vendor quotes, issue POs, and record GRN receipts.",Assigned campus,Must-Have,core,Buildable now,Institution Admin › Stores
Parent / Guardian,My Child,Academics,IEP Progress Goal Tracker,View real-time progress bars towards child's specific IEP milestones and therapy goals.,Specific student,Should-Have,advanced,Buildable now,Parent › Academics
Parent / Guardian,Transport,Alerts & Preferences,Parent Bus Proximity Radius Customizer,"Allow parents to set custom distance alerts (e.g., alert me when bus is 1 km or 500m away).",Specific student,Should-Have,optional,Buildable now,Parent › Alerts & Preferences
Parent / Guardian,My Child,Attendance,Child Absence Reporting Button,Notify class teacher in advance of child's planned absence with 1-click reason selection.,Specific student,Must-Have,core,Buildable now,Parent › Attendance
Parent / Guardian,Requests,Consent,Parent Delegation for Emergency Pickup,Generate single-use digital QR authorization passes for friends/relatives picking up child in emergency.,Specific student,Should-Have,core,Buildable now,Parent › Consent
Parent / Guardian,Home,Home,Real-Time Push Notifications,"Receive instant app push alerts for homework, circulars, fee dues, and attendance.",Specific student,Must-Have,core,Buildable now,Parent › Home
Seller Admin,Entitlements,Entitlements,Module Entitlement Matrix,Which modules each plan and each school may use; switching one off hides it from that school's navigation.,All institutions / all campuses,Must-Have,core,Buildable now,Seller Admin › Entitlements
Super Admin,AI & Automation,AI & Automation,Automated Timetable Optimizer,"Genetic algorithms solving complex multi-variable faculty, room, and elective timetable constraints.",All institutions / all campuses,Nice-to-Have,core,Buildable now,Super Admin › AI & Automation
Super Admin,Access & Security,Access & Security,SSO / MFA,Configure single sign-on and multi-factor authentication when required.,All users,Must-Have,core,Buildable now,Super Admin › Access & Security
Super Admin,Institution Setup,Institution Setup,Branding,"Logo, institution name, colors and portal identity per tenant/campus.",All institutions / all campuses,Must-Have,core,Buildable now,Super Admin › Institution Setup
Super Admin,Platform Setup,Operations,Data Backup & Restore,Schedule automated cloud database backups and manage point-in-time recovery archives.,All institutions / all campuses,Should-Have,core,Buildable now,Super Admin › Operations
Super Admin,Platform Configuration,Platform Configuration,Numbering & templates,"Configure receipt, admission, student ID and certificate numbering/templates.",All institutions / all campuses,Must-Have,core,Buildable now,Super Admin › Platform Configuration
Student,Academics,Learning,AI Personal Learning Companion,"24/7 AI tutor answering student doubts, explaining math problems step-by-step, and generating practice quizzes.",Specific student,Nice-to-Have,core,"Speculative — AI or gamification, needs your call",Student › Learning
Student,Academics,Learning,Gamified Learning Badge Showcase,"Display earned academic, behavioral, and extracurricular digital badges on public student profile.",Specific student,Nice-to-Have,optional,"Speculative — AI or gamification, needs your call",Student › Learning
Student,Academics,Learning,Gamified Learning Streak Counter,Visual daily login and homework completion streak counter rewarding students with digital badges.,Specific student,Nice-to-Have,optional,"Speculative — AI or gamification, needs your call",Student › Learning
Institution Admin / Principal,Academics,Academics,Master Timetable Generation,Auto-generate clash-free class/faculty timetables with room and subject constraints.,Assigned institution/campus,Must-Have,core,"Speculative — AI or gamification, needs your call",Institution Admin › Academics
Super Admin,Platform Setup,Statutory & Boards,School Management Type,"Classify each campus as Government, Aided, Private Unaided, Model School, Gurukul or KGBV for state reporting.",All institutions / all campuses,Should-Have,core,"Speculative — AI or gamification, needs your call",Super Admin › Statutory & Boards
Parent / Guardian,School,Messages,AI Voice Search for School Notices,Voice-activated search allowing parents to ask 'When is the next fee due date?' in regional languages.,Specific student,Nice-to-Have,optional,"Speculative — AI or gamification, needs your call",Parent › Messages
Student,School,Campus Life,Digital Hall of Fame,"Showcase historic trophies, school record holders, and national rankers across academic/sports.",Specific student,Must-Have,optional,"Speculative — AI or gamification, needs your call",Student › Campus Life
Student,School,Campus Life,Student Wall & Peer Recognition,"View school news, student council announcements, badge achievements, and art features.",Specific student,Must-Have,optional,"Speculative — AI or gamification, needs your call",Student › Campus Life
Accounts & Finance,Fees,Concessions & Refunds,Grant-in-Aid Accounting,"Track government grant-in-aid receipts, utilisation certificates and unspent balances.",Assigned institution/campus,Must-Have,advanced,"Speculative — AI or gamification, needs your call",Accounts & Finance › Concessions & Refunds
Faculty / Teacher,Assessments,Question Papers & Online Tests,AI Examcell Paper Generator,"Auto-generate exam papers matching blueprint matrices, mark weightage, and difficulty ratios.",Assigned classes/subjects,Nice-to-Have,advanced,"Speculative — AI or gamification, needs your call",Faculty › Question Papers & Online Tests
Faculty / Teacher,Assessments,Question Papers & Online Tests,Ved AI Assessment Assistant,"Use AI suggestions for creating creative rubric criteria, quiz questions, and essay prompts.",Assigned classes/subjects,Nice-to-Have,advanced,"Speculative — AI or gamification, needs your call",Faculty › Question Papers & Online Tests
Institution Admin / Principal,Administration,Mid-Day Meal,Mid-Day Meal Register,"Record the daily cooked-meal headcount, rice consumption and menu for government and aided schools.",Assigned institution/campus,Must-Have,advanced,"Speculative — AI or gamification, needs your call",Institution Admin › Mid-Day Meal
Parent / Guardian,My Child,Academics,AI Child Performance Summary Audio,Generate a weekly 60-second audio podcast summarizing the child's academic and behavioral week.,Specific student,Nice-to-Have,optional,"Speculative — AI or gamification, needs your call",Parent › Academics
Super Admin,AI & Automation,AI & Automation,AI Sentiment Analysis on Feedback,Natural Language Processing on parent complaints and reviews to gauge overall campus sentiment.,All institutions / all campuses,Nice-to-Have,core,"Speculative — AI or gamification, needs your call",Super Admin › AI & Automation
Super Admin,AI & Automation,AI & Automation,Automated Exam Question Translation,AI translation engine converting English question banks into regional languages instantly.,All institutions / all campuses,Nice-to-Have,core,"Speculative — AI or gamification, needs your call",Super Admin › AI & Automation
Super Admin,AI & Automation,AI & Automation,Predictive Dropout Risk Engine,"AI models analyzing attendance, grades, and fee delays to predict student churn risk.",All institutions / all campuses,Nice-to-Have,core,"Speculative — AI or gamification, needs your call",Super Admin › AI & Automation
Super Admin,AI & Automation,AI & Automation,Smart Fee Cash Flow Predictor,Predictive modeling forecasting next quarter's fee collections based on historical payment patterns.,All institutions / all campuses,Nice-to-Have,core,"Speculative — AI or gamification, needs your call",Super Admin › AI & Automation
Admissions & Front Office,Admissions,Enquiries,24/7 Admission Chatbot,"Configure web widget chatbot to answer tuition queries, syllabus details, and capture leads.",Assigned institution/campus,Nice-to-Have,optional,"Speculative — AI or gamification, needs your call",Admissions & Front Office › Enquiries
Admissions & Front Office,Admissions,Enquiries,AI Voice Agent Integration,Automate outbound AI voice agent calls to confirm entrance exam attendance or follow up.,Assigned institution/campus,Nice-to-Have,optional,"Speculative — AI or gamification, needs your call",Admissions & Front Office › Enquiries
Parent / Guardian,Profile,Profile,Parent App Biometric Lock (Face ID / Fingerprint),Allow parents to secure mobile app access using smartphone hardware biometric authentication.,Specific student,Should-Have,optional,Blocked — needs hardware or a vendor contract,Parent › Profile
Super Admin,Platform Setup,Statutory & Boards,DigiLocker Issuer Integration,"Register as a DigiLocker issuer and push transfer certificates, report cards and mark sheets as verifiable documents.",All institutions / all campuses,Must-Have,advanced,Blocked — needs hardware or a vendor contract,Super Admin › Statutory & Boards
Accounts & Finance,Fees,Collections,Cashless Campus Wallet,Manage student smart card balances for cashless purchases in school canteen and store.,Assigned campus,Must-Have,core,Blocked — needs hardware or a vendor contract,Accounts & Finance › Collections
Institution Admin / Principal,Operations,Transport,AIS-140 Telematics & VAHAN Compliance,"Register AIS-140 certified GPS units per vehicle, ingest NavIC position and panic-button events, monitor tamper and offline buffering, and evidence the VAHAN transmission MoRTH requires.",Assigned campus,Nice-to-Have,advanced,Blocked — needs hardware or a vendor contract,Institution Admin › Transport
Institution Admin / Principal,Operations,Transport,Fuel Sensor & Mileage Telematics,Integrate digital fuel tank sensors to detect fuel theft and track real-time bus mileage.,Assigned campus,Should-Have,optional,Blocked — needs hardware or a vendor contract,Institution Admin › Transport
Institution Admin / Principal,Operations,Transport,Real-time Vehicle Tracking (VTS),"View live GPS map of moving school buses, current speed, route adherence, and delay alerts.",Assigned campus,Should-Have,core,Blocked — needs hardware or a vendor contract,Institution Admin › Transport
Institution Admin / Principal,Operations,Transport,Seatbelt & CCTV Video Streaming,Stream live in-bus CCTV video feeds to transport admin dashboards for safety monitoring.,Assigned campus,Must-Have,optional,Blocked — needs hardware or a vendor contract,Institution Admin › Transport
Super Admin,Platform Setup,Payments & Devices,Biometric Device Integration,"Connect biometric fingerprint, facial recognition, and RFID hardware machines via IP/Webhooks.",All institutions / all campuses,Must-Have,advanced,Blocked — needs hardware or a vendor contract,Super Admin › Payments & Devices
Super Admin,Platform Setup,Payments & Devices,GPS Hardware Integration,"Configure bus GPS tracker hardware protocols, IMEI mapping, and refresh intervals.",All institutions / all campuses,Must-Have,core,Blocked — needs hardware or a vendor contract,Super Admin › Payments & Devices
Super Admin,Platform Setup,Payments & Devices,Payment Gateway Connectors,"Manage credentials for Razorpay, Paytm, CCAvenue, BillDesk, Easebuzz, and CCAvenue.",All institutions / all campuses,Must-Have,core,Blocked — needs hardware or a vendor contract,Super Admin › Payments & Devices
Faculty / Teacher,My Classes,My Classes,Montessori & Early Years Tracking,"Log developmental milestones, sensory skills, motor skills, and social behavior observations.",Assigned classes/subjects,Should-Have,advanced,Blocked — needs hardware or a vendor contract,Faculty › My Classes
Faculty / Teacher,Assessments,Question Papers & Online Tests,No-OMR Exam Grading,Input digital answer keys or scan sheets directly in browser without specialized OMR hardware.,Assigned classes/subjects,Must-Have,advanced,Blocked — needs hardware or a vendor contract,Faculty › Question Papers & Online Tests
Super Admin,Platform Setup,Messaging,SMS Gateway Integration,"Configure gateway API credentials, sender IDs, DLTI templates, and SMS delivery logs.",All institutions / all campuses,Must-Have,core,Blocked — needs hardware or a vendor contract,Super Admin › Messaging
Super Admin,Platform Setup,Messaging,WhatsApp API Integration,"Connect WhatsApp Business API, manage template approvals, automated triggers, and delivery logs.",All institutions / all campuses,Must-Have,core,Blocked — needs hardware or a vendor contract,Super Admin › Messaging
Accounts & Finance,Fees,Student Dues,Automated Fee Reminders,"Schedule automated WhatsApp, SMS, and app push reminders to parents of defaulter students.",Assigned institution/campus,Must-Have,core,Blocked — needs hardware or a vendor contract,Accounts & Finance › Student Dues
Faculty / Teacher,My Classes,Attendance,Absence Alert to Guardian,"Trigger an SMS or WhatsApp alert to guardians when a student is marked absent, within the configured window.",Assigned classes/subjects,Must-Have,core,Blocked — needs hardware or a vendor contract,Faculty › Attendance
HR & Payroll,Attendance & Leave,Attendance,Biometric Machine Attendance Sync,Real-time automated fetch of staff check-in/out logs from biometric hardware.,Assigned institution/campus,Must-Have,advanced,Blocked — needs hardware or a vendor contract,HR & Payroll › Attendance
HR & Payroll,Attendance & Leave,Attendance,Biometric Punch In/Out Grace Period,Configure 10-minute grace windows for morning staff check-in before triggering late mark deductions.,Assigned institution/campus,Must-Have,advanced,Blocked — needs hardware or a vendor contract,HR & Payroll › Attendance
Parent / Guardian,Transport,Alerts & Preferences,Parent App Live Bus Tracking Refresh Rate Customizer,"Select bus GPS map refresh frequency (e.g., 5 seconds vs 15 seconds) to save mobile battery.",Specific student,Should-Have,optional,Blocked — needs hardware or a vendor contract,Parent › Alerts & Preferences
Parent / Guardian,Transport,Alerts & Preferences,Real-time School Bus Live Video Feed Access,Permit authorized parents to view 15-second live video camera check-ins of child's bus during transit.,Specific student,Must-Have,optional,Blocked — needs hardware or a vendor contract,Parent › Alerts & Preferences
Super Admin,Platform Configuration,Platform Configuration,Integrations,"Configure payment gateway, email/SMS/WhatsApp, biometric devices, Google/Microsoft and other connectors.",All institutions / all campuses,Must-Have,core,Blocked — needs hardware or a vendor contract,Super Admin › Platform Configuration
Admissions & Front Office,Admissions,Enquiries,Multi-Touch Campaign Sequences,"Trigger automated follow-up SMS, WhatsApp messages, and email drip sequences to leads.",Assigned institution/campus,Must-Have,advanced,Blocked — needs hardware or a vendor contract,Admissions & Front Office › Enquiries
Admissions & Front Office,Front Desk,Gate Security,Gate RFID Entry Management,Monitor real-time student/staff gate scans for late arrivals or early departures.,Assigned institution/campus,Must-Have,optional,Blocked — needs hardware or a vendor contract,Admissions & Front Office › Gate Security
Institution Admin / Principal,Operations,Library,Digital E-Book & Journal Integration,"Provide single-sign-on access to digital libraries like EBSCO, JSTOR, and e-books.",Assigned campus,Must-Have,core,Blocked — needs hardware or a vendor contract,Institution Admin › Library
Parent / Guardian,Requests,Documents,DigiLocker Document Pull,Fetch the child's school-issued certificates and mark sheets directly into the parent's DigiLocker.,Specific student,Must-Have,advanced,Blocked — needs hardware or a vendor contract,Parent › Documents
Student,Profile,Profile,Digital Student ID Card NFC Tap Pass,Use smartphone NFC or Apple/Google Wallet pass for school gate entry and library book checkouts.,Specific student,Must-Have,optional,Blocked — needs hardware or a vendor contract,Student › Profile
